Date,Open,High,Low,Close,Adj Close,Volume
8/9/2018,64.25,64.5,63.939999,64.110001,61.597462,693900
8/10/2018,63.860001,64.32,63.77,64,61.491776,681900
8/13/2018,63.900002,64.269997,63.514999,63.880001,61.376476,1364100
8/14/2018,62.610001,63.290001,60.419998,61.779999,59.358768,1499100
8/15/2018,60.700001,61.23,59.84,60.860001,58.474831,1493600
8/16/2018,61.18,61.84,60.75,61.349998,58.945633,1303100
8/17/2018,61.34,62.200001,61.224998,61.849998,59.426033,1249300
8/20/2018,62.150002,62.16,61.580002,61.599998,59.185829,1450100
8/21/2018,61.84,62.009998,61.48,61.580002,59.166615,1356200
8/22/2018,61.389999,61.654999,61.103001,61.16,58.763077,793800
8/23/2018,61.220001,61.549999,61.139999,61.25,58.849548,787800
8/24/2018,61.41,61.490002,60.919998,61.23,58.830338,846500
8/27/2018,61.5,61.869999,61.139999,61.540001,59.128185,630500
8/28/2018,61.740002,61.900002,61.5,61.779999,59.358768,727700
8/29/2018,61.57,62.200001,61.540001,62.16,59.723881,1392200
8/30/2018,62.119999,62.68,61.950001,62.549999,60.098598,937300
8/31/2018,62.18,62.5,61.959999,62.32,60.021549,906300
9/4/2018,62.540001,62.630001,61.700001,61.93,59.645931,737800
9/5/2018,62.240002,62.240002,60.474998,60.59,58.355358,1192200
9/6/2018,60.560001,61.060001,60.029999,60.889999,58.644291,679000
9/7/2018,60.759998,61.220001,60.41,60.860001,58.615398,866400
9/10/2018,61.029999,61.224998,60.66,61.060001,58.808025,450600
9/11/2018,60.889999,61.240002,60.709999,61.060001,58.808025,1336000
9/12/2018,61.02,62.16,60.994999,61.900002,59.617043,843700
9/13/2018,61.990002,62.889999,61.990002,62.830002,60.512745,1463900
9/14/2018,63,63.220001,60.259998,62.919998,60.599419,1120200
9/17/2018,63.16,63.575001,62.639999,63.119999,60.792049,934500
9/18/2018,63.02,64.32,63.02,64,61.639587,938000
9/19/2018,64.660004,64.769997,63.040001,63.16,60.830574,666800
9/20/2018,63.349998,63.400002,62.48,62.849998,60.532009,1080500
9/21/2018,63,63.450001,62.43,63.169998,60.840202,1924800
9/24/2018,62.740002,63.09,62.185001,62.700001,60.387535,967500
9/25/2018,62.869999,62.869999,62.310001,62.549999,60.243061,783700
9/26/2018,62.560001,62.830002,62.009998,62.119999,59.828926,830700
9/27/2018,62.240002,62.75,62.209999,62.279999,59.983021,520400
9/28/2018,62.189999,62.884998,62.009998,62.560001,60.252705,917000
10/1/2018,62.98,62.98,62.169998,62.27,59.973392,547400
10/2/2018,62.18,62.43,61.919998,62.009998,59.72298,647400
10/3/2018,62.259998,62.259998,61.470001,61.509998,59.241428,448700
10/4/2018,61.360001,62.080002,60.189999,60.419998,58.19162,648300
10/5/2018,60.400002,60.790001,59.5,59.700001,57.498184,1093800
10/8/2018,59.540001,59.580002,57.959999,58.529999,56.371338,556200
10/9/2018,58.349998,58.68,58.139999,58.299999,56.149815,851000
10/10/2018,58.240002,58.32,57.080002,57.139999,55.032593,1763000
10/11/2018,57.060001,57.375,56.139999,56.889999,54.791824,2163200
10/12/2018,57.439999,57.810001,55.75,56.610001,54.522144,1197600
10/15/2018,56.41,57.709999,56.139999,57.02,54.91703,1180000
10/16/2018,57.419998,57.869999,56.807999,57.73,55.600834,701600
10/17/2018,57.73,58.400002,57.380001,58.18,56.034233,611700
10/18/2018,57.880001,58.23,57.299999,57.720001,55.591198,844900
10/19/2018,57.900002,58.380001,57.139999,57.279999,55.167435,891700
10/22/2018,57.490002,57.84,57.139999,57.490002,55.369694,678800
10/23/2018,56.869999,57.84,56.310001,57.400002,55.283012,651200
10/24/2018,57.290001,57.91,56.583,56.720001,54.628082,1001300
10/25/2018,56.900002,57.310001,56.650002,57.110001,55.0037,814800
10/26/2018,56.599998,57.099998,55.973,56.310001,54.233204,1154300
10/29/2018,56.830002,57.869999,55.915001,56.5,54.416199,1034000
10/30/2018,56.57,57.369999,56.07,57.049999,54.945915,1027900
10/31/2018,57.509998,57.709999,56.669998,57.240002,55.12891,1582800
11/1/2018,57.349998,57.84,57.18,57.490002,55.369694,1219400
11/2/2018,57.700001,58,57.040001,57.509998,55.388947,851600
11/5/2018,57.349998,58,57.119999,57.799999,55.668251,876100
11/6/2018,57.68,58.049999,56.98,57.299999,55.186699,1575400
11/7/2018,58.259998,58.259998,51.689999,52.950001,50.997131,2419100
11/8/2018,52.360001,52.950001,50.830002,51.029999,49.147942,2285200
11/9/2018,50.689999,51.880001,50.5,50.77,48.89753,2652300
11/12/2018,50.459999,51.150002,49.740002,49.790001,47.953678,1688800
11/13/2018,50.169998,50.709999,49.959999,50.509998,48.647118,1288500
11/14/2018,51.400002,51.869999,49.939999,50.02,48.17519,1269900
11/15/2018,49.82,50.27,49.139999,49.880001,48.040352,1168600
11/16/2018,49.689999,50.610001,49.099998,50.389999,48.531544,1433700
11/19/2018,50.23,50.869999,49.549999,49.689999,47.857357,1383400
11/20/2018,49.099998,49.59,49.049999,49.490002,47.664742,1039700
11/21/2018,49.650002,50.139999,49.25,49.68,47.847733,774100
11/23/2018,49.459999,50.439999,49.073002,49.919998,48.078873,288900
11/26/2018,50.450001,50.450001,49.91,50.27,48.41597,786500
11/27/2018,50.09,50.580002,49.040001,49.080002,47.269855,884400
11/28/2018,49.09,50.240002,48.130001,50.240002,48.387081,847800
11/29/2018,49.970001,50.619999,49.779999,50.18,48.329288,844500
11/30/2018,50.09,50.419998,49.700001,50.400002,48.686718,1244600
12/3/2018,50.810001,51.549999,50.439999,50.900002,49.169712,1219800
12/4/2018,51.209999,51.380001,48.900002,49.049999,47.382607,1176100
12/6/2018,48.34,49.525002,48.110001,49.23,47.556484,1511700
12/7/2018,49.349998,49.360001,47.669998,47.98,46.34898,913500
12/10/2018,48.080002,48.57,47.264999,48.009998,46.377956,1008400
12/11/2018,48.380001,48.900002,47.009998,47.68,46.059181,1320700
12/12/2018,48.119999,49.220001,47.91,48.639999,46.986546,1119600
12/13/2018,48.740002,49.080002,48.029999,48.23,46.590481,763000
12/14/2018,47.759998,48.27,47.52,47.700001,46.078495,734700
12/17/2018,47.540001,47.950001,46.77,46.889999,45.296036,1316900
12/18/2018,47.220001,47.779999,46.529999,46.66,45.073853,1372000
12/19/2018,46.889999,47.709999,46.169998,46.470001,44.890312,1748500
12/20/2018,46.369999,46.830002,45.209999,46.240002,44.668129,1206200
12/21/2018,46.580002,47.5,45.540001,45.57,44.020901,2867000
12/24/2018,45.16,45.880001,44.919998,45,43.47028,976600
12/26/2018,45.220001,46.200001,44.619999,46.16,44.590847,1084100
12/27/2018,45.52,46.950001,44.006001,46.919998,45.325012,1099700
12/28/2018,47.119999,47.779999,46.740002,47.290001,45.682434,1456600
12/31/2018,47.380001,47.994999,47.18,47.880001,46.252377,1042800
1/2/2019,47.439999,48.400002,47.439999,48.110001,46.474556,1073700
1/3/2019,47.860001,48.360001,47.439999,47.57,45.952915,1301500
1/4/2019,48.080002,49.110001,47.759998,49.080002,47.411591,1107100
1/7/2019,48.93,49.669998,48.610001,49.110001,47.440563,1444900
1/8/2019,49.529999,49.889999,48.82,49.439999,47.759346,825800
1/9/2019,49.470001,49.799999,48.779999,49.349998,47.672409,665900
1/10/2019,49.110001,49.939999,49.049999,49.599998,47.913902,749200
1/11/2019,49.52,50.18,49.141998,50.040001,48.338955,854000
1/14/2019,49.799999,50.310001,49.560001,49.869999,48.174728,566300
1/15/2019,49.860001,50.049999,49.259998,49.830002,48.136086,779700
1/16/2019,49.740002,50.220001,49.73,49.93,48.232693,740000
1/17/2019,49.689999,50.459999,48.02,50.169998,48.464535,825000
1/18/2019,50.299999,50.599998,49.778,50.240002,48.53215,919200
1/22/2019,50.029999,51.040001,50.009998,50.830002,49.1021,1168400
1/23/2019,51.060001,51.48,50.669998,51.040001,49.304966,711600
1/24/2019,51.02,51.755001,50.84,51.700001,49.942524,915200
1/25/2019,51.990002,52.32,51.34,51.389999,49.643063,901900
1/28/2019,51.029999,51.48,50.709999,51.310001,49.565777,1228300
1/29/2019,51.299999,51.52,51.040001,51.240002,49.498161,914800
1/30/2019,50.580002,51,48.264999,48.529999,46.880283,3401400
1/31/2019,48.740002,49.200001,48.48,48.91,47.247364,2244300
2/1/2019,48.959999,49.119999,48.650002,48.959999,47.295666,1622100
2/4/2019,49.139999,49.709999,48.970001,49.34,47.662746,2664600
2/5/2019,50.099998,54.34,50.099998,54.290001,52.444477,3550600
2/6/2019,54.5,54.830002,52.880001,53.16,51.35289,1829700
2/7/2019,52.599998,54.09,52.599998,53.810001,51.980793,1743900
